001 1/32 3/32
002 3/64 9/64
003 1/16 3/16
004 5/64 13/64
005 3/32 7/32
006 1/8 1/4
007 5/32 9/32
008 3/16 5/16
009 7/32 11/32
010 1/4 3/8
011 5/16 7/16
012 3/8 1/2
013 7/16 9/16
014 1/2 5/8
015 9/16 11/16
016 5/8 3/4
017 11/16 13/16
018 3/4 7/8
019 13/16 15/16
020 7/8 1
021 15/16 1
022 1 1
023 1 1/16
024 1 1/8
025 1 3/16
026 1 1/4
027 1 5/16
028 1 3/8
104 1/8 5/16
105 5/32 11/32
106 3/16 3/8
107 7/32 13/32
108 1/4 7/16
109 5/16 1/2
110 3/8 9/16
111 7/16 5/8
112 1/2 11/16
113 9/16 3/4
114 5/8 13/16
115 11/16 7/8
116 3/4 15/16
117 13/16 1
118 7/8 1
119 15/16 1
120 1 1
121 1 1/16
122 1 1/8
123 1 3/16
124 1 1/4
125 1 5/16
126 1 3/8
127 1 7/16
128 1 1/2
129 1 9/16
130 1 5/8
131 1 11/16
132 1 3/4
133 1 13/16
134 1 7/8
135 1 15/16
136 2 2
137 2 1/16
138 2 1/8
139 2 3/16
140 2 1/4
141 2 5/16
142 2 3/8
143 2 7/16
144 2 1/2
145 2 9/16
146 2 5/8
147 2 11/16
148 2 3/4
149 2 13/16
210 3/4 1
211 13/16 1-1/16
212 7/8 1-1/8
213 15/16 1-3/16
214 1 1-1/4
215 1-1/16 1-5/16
216 1-1/8 1-3/8
217 1-3/16 1-7/16
218 1-1/4 1-1/2
219 1-5/16 1-9/16
220 1-3/8 1-5/8
221 1-7/16 1-11/16
222 1-1/2 1-3/4
223 1-5/8 1-7/8
224 1-3/4 2
225 1-7/8 2-1/8
226 2 2-1/4
227 2-1/8 2-3/8
228 2-1/4 2-1/2
229 2-3/8 2-5/8
230 2-1/2 2-3/4
231 2-5/8 2-7/8
232 2-3/4 3
233 2-7/8 3-1/8
234 3 3-1/4
235 3-1/8 3-3/8
236 3-1/4 3-1/2
237 3-3/8 3-5/8
238 3-1/2 3-3/4
239 3-5/8 3-7/8
240 3-3/4 4
241 3-7/8 4-1/8
242 4 4-1/4
243 4-1/8 4-3/8
244 4-1/4 4-1/2
245 4-3/8 4-5/8
246 4-1/2 4-3/4
247 4-5/8 4-7/8
325 1 1/2
326 1 5/8
327 1 3/4
328 1 7/8
329 2 2
330 2 1/8
331 2 1/4
332 2 3/8
333 2 1/2
334 2 5/8
335 2 3/4
336 2 7/8
337 3 3
338 3 1/8
339 3 1/4
340 3 3/8
341 3 1/2
342 3 5/8
343 3 3/4
344 3 7/8
345 4 4
346 4 1/8
347 4 1/4
348 4 3/8
349 4 1/2
425 4 1/2
426 4 5/8
427 4 3/4
428 4 7/8
429 5 5
430 5 1/8
431 5 1/4
432 5 3/8
433 5 1/2
434 5 5/8
435 5 3/4
436 5 7/8
437 6 6
438 6 1/4
439 6 1/2
440 6 3/4
441 7 7
442 7 1/4
443 7 1/2
444 7 3/4
445 8 8
446 8 1/2
447 9 9
448 9 1/2
449 10 10
450 10 1/2
451 11 11
452 11 1/2
453 12 12
454 12 1/2
455 13 13
456 13 1/2
457 14 14
458 14 1/4
459 15 15
460 15 1/2
