Axial Distance,Radial Diastance,Area Ratio,Axial Distance,Radial Distance
in,in,Unitless,m,m
0,0,10.49682742,0,0.0381
,,10.49682742,0.000183,0.0381
,,10.49682742,0.000366,0.0381
,,10.49682742,0.000549,0.0381
,,10.49682742,0.000732,0.0381
,,10.49682742,0.000915,0.0381
,,10.49682742,0.001098,0.0381
,,10.49682742,0.001281,0.0381
,,10.49682742,0.001464,0.0381
,,10.49682742,0.001647,0.0381
,,10.49682742,0.00183,0.0381
,,10.49682742,0.002013,0.0381
,,10.49682742,0.002196,0.0381
,,10.49682742,0.002379,0.0381
,,10.49682742,0.002562,0.0381
,,10.49682742,0.002745,0.0381
,,10.49682742,0.002928,0.0381
,,10.49682742,0.003111,0.0381
,,10.49682742,0.003294,0.0381
,,10.49682742,0.003477,0.0381
,,10.49682742,0.00366,0.0381
,,10.49682742,0.003843,0.0381
,,10.49682742,0.004026,0.0381
,,10.49682742,0.004209,0.0381
,,10.49682742,0.004392,0.0381
,,10.49682742,0.004575,0.0381
,,10.49682742,0.004758,0.0381
,,10.49682742,0.004941,0.0381
,,10.49682742,0.005124,0.0381
,,10.49682742,0.005307,0.0381
,,10.49682742,0.00549,0.0381
,,10.49682742,0.005673,0.0381
,,10.49682742,0.005856,0.0381
,,10.49682742,0.006039,0.0381
,,10.49682742,0.006222,0.0381
,,10.49682742,0.006405,0.0381
,,10.49682742,0.006588,0.0381
,,10.49682742,0.006771,0.0381
,,10.49682742,0.006954,0.0381
,,10.49682742,0.007137,0.0381
,,10.49682742,0.00732,0.0381
,,10.49682742,0.007503,0.0381
,,10.49682742,0.007686,0.0381
,,10.49682742,0.007869,0.0381
,,10.49682742,0.008052,0.0381
,,10.49682742,0.008235,0.0381
,,10.49682742,0.008418,0.0381
,,10.49682742,0.008601,0.0381
,,10.49682742,0.008784,0.0381
,,10.49682742,0.008967,0.0381
,,10.49682742,0.00915,0.0381
,,10.49682742,0.009333,0.0381
,,10.49682742,0.009516,0.0381
,,10.49682742,0.009699,0.0381
,,10.49682742,0.009882,0.0381
,,10.49682742,0.010065,0.0381
,,10.49682742,0.010248,0.0381
,,10.49682742,0.010431,0.0381
,,10.49682742,0.010614,0.0381
,,10.49682742,0.010797,0.0381
,,10.49682742,0.01098,0.0381
,,10.49682742,0.011163,0.0381
,,10.49682742,0.011346,0.0381
,,10.49682742,0.011529,0.0381
,,10.49682742,0.011712,0.0381
,,10.49682742,0.011895,0.0381
,,10.49682742,0.012078,0.0381
,,10.49682742,0.012261,0.0381
,,10.49682742,0.012444,0.0381
,,10.49682742,0.012627,0.0381
,,10.49682742,0.01281,0.0381
,,10.49682742,0.012993,0.0381
,,10.49682742,0.013176,0.0381
,,10.49682742,0.013359,0.0381
,,10.49682742,0.013542,0.0381
,,10.49682742,0.013725,0.0381
,,10.49682742,0.013908,0.0381
,,10.49682742,0.014091,0.0381
,,10.49682742,0.014274,0.0381
,,10.49682742,0.014457,0.0381
,,10.49682742,0.01464,0.0381
,,10.49682742,0.014823,0.0381
,,10.49682742,0.015006,0.0381
,,10.49682742,0.015189,0.0381
,,10.49682742,0.015372,0.0381
,,10.49682742,0.015555,0.0381
,,10.49682742,0.015738,0.0381
,,10.49682742,0.015921,0.0381
,,10.49682742,0.016104,0.0381
,,10.49682742,0.016287,0.0381
,,10.49682742,0.01647,0.0381
,,10.49682742,0.016653,0.0381
,,10.49682742,0.016836,0.0381
,,10.49682742,0.017019,0.0381
,,10.49682742,0.017202,0.0381
,,10.49682742,0.017385,0.0381
,,10.49682742,0.017568,0.0381
,,10.49682742,0.017751,0.0381
,,10.49682742,0.017934,0.0381
,,10.49682742,0.018117,0.0381
,,10.49682742,0.0183,0.0381
,,10.49682742,0.018483,0.0381
,,10.49682742,0.018666,0.0381
,,10.49682742,0.018849,0.0381
,,10.49682742,0.019032,0.0381
,,10.49682742,0.019215,0.0381
,,10.49682742,0.019398,0.0381
,,10.49682742,0.019581,0.0381
,,10.49682742,0.019764,0.0381
,,10.49682742,0.019947,0.0381
,,10.49682742,0.02013,0.0381
,,10.49682742,0.020313,0.0381
