201 3/16 7/16
202 1/4 1/2
203 5/16 9/16
204 3/8 5/8
205 7/16 11/16
206 1/2 3/4
207 9/16 13/16
208 5/8 7/8
209 11/16 15/16
210 3/4 1
211 13/16 1-1/16
212 7/8 1-1/8
213 15/16 1-3/16
214 1 1-1/4
215 1-1/16 1-5/16
216 1-1/8 1-3/8
217 1-3/16 1-7/16
218 1-1/4 1-1/2
219 1-5/16 1-9/16
220 1-3/8 1-5/8
221 1-7/16 1-11/16
222 1-1/2 1-3/4
223 1-5/8 1-7/8
224 1-3/4 2
225 1-7/8 2-1/8
226 2 2-1/4
227 2-1/8 2-3/8
228 2-1/4 2-1/2
229 2-3/8 2-5/8
230 2-1/2 2-3/4
231 2-5/8 2-7/8
232 2-3/4 3
233 2-7/8 3-1/8
234 3 3-1/4
235 3-1/8 3-3/8
236 3-1/4 3-1/2
237 3-3/8 3-5/8
238 3-1/2 3-3/4
239 3-5/8 3-7/8
240 3-3/4 4
241 3-7/8 4-1/8
242 4 4-1/4
243 4-1/8 4-3/8
244 4-1/4 4-1/2
245 4-3/8 4-5/8
246 4-1/2 4-3/4
247 4-5/8 4-7/8
248 4-3/4 5
249 4-7/8 5-1/8
250 5 5-1/4
251 5-1/8 5-3/8
252 5-1/4 5-1/2
253 5-3/8 5-5/8
254 5-1/2 5-3/4
255 5-5/8 5-7/8
256 5-3/4 6
257 5-7/8 6-1/8
258 6 6-1/4
259 6-1/4 6-1/2
260 6-1/2 6-3/4
261 6-3/4 7
262 7 7-1/4
263 7-1/4 7-1/2
264 7-1/2 7-3/4
265 7-3/4 8
266 8 8-1/4
267 8-1/4 8-1/2
268 8-1/2 8-3/4
269 8-3/4 9
270 9 9-1/4
271 9-1/4 9-1/2
272 9-1/2 9-3/4
273 9-3/4 10
274 10 10-1/4
275 10-1/2 10-3/4
276 11 11-1/4
277 11-1/2 11-3/4
278 12 12-1/4
279 13 13-1/4
280 14 14-1/4
281 15 15-1/4
282 16 16-1/4
283 17 17-1/4
284 18 18-1/4
